observedProperty,resultUom,_Year,resultMeanValue,water_name,Country_name,PopulationDensity,TouristMean_1990_2020,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
EEA_3131-01-9,%,2008,102.8,FRDR161A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2008,56.8412,FRDR161A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-02-2,mg{N}/L,2008,0.357314,FRDR161A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2008,1124,FRDR162,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2008,1.25,FRDR156B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2008,351.667,FRDR156B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2008,6.52335,FRAR47,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2008,645.667,FRAR35,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2008,116.383,FRAR35,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-03-7,mg{O2}/L,2008,8.65385,FRCR5,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2008,4.398436996,FRCR125,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2008,0.006247677,FRCR125,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2008,55.8279,FRDR646,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-03-3,mg{N}/L,2008,0.664444,FRHR313,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2008,0.870254551,UKGB104028046740,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
EEA_3131-01-9,%,2008,86.8083,UKGB104028046740,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
