observedProperty,resultUom,_Year,resultMeanValue,water_name,Country_name,PopulationDensity,TouristMean_1990_2020,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
EEA_3133-01-5,mg{O2}/L,2008,0.413,UKSC020211,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
EEA_3133-01-5,mg{O2}/L,2008,0.425,UKSC020329,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
EEA_3133-01-5,mg{O2}/L,2008,0.3892,UKSC020410,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
EEA_3133-01-5,mg{O2}/L,2008,0.6611,UKSC023000,United Kingdom,274.7089819,25867961,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
EEA_31615-01-7,mg{N}/L,2009,3.74167,DERW_DESH_MTR_20,Germany,237.3075967,22635423,30,10,1.4,17.7,24,13,4,0,0,47.83
CAS_14797-65-0,mg{NO2}/L,2009,0.0978781,DERW_DESH_BI_06_A,Germany,237.3075967,22635423,30,10,1.4,17.7,24,13,4,0,0,47.83
EEA_3142-01-6,uS/cm,2012,516.083,LT300112363,Lithuania,44.72307577,1538269,40.4,8.65,2.75,44.05,10.05,10.15,0,0.6,0,22.92
CAS_14797-55-8,mg{NO3}/L,2009,11.28482143,DERW_DESH_MST_16_A,Germany,237.3075967,22635423,30,10,1.4,17.7,24,13,4,0,0,47.83
CAS_14797-55-8,mg{NO3}/L,2009,10.58570959,DERW_DESH_BR_03_B,Germany,237.3075967,22635423,30,10,1.4,17.7,24,13,4,0,0,47.83
CAS_14797-65-0,mg{NO2}/L,2009,0.126725864,DERW_DESH_ST_04,Germany,237.3075967,22635423,30,10,1.4,17.7,24,13,4,0,0,47.83
CAS_14798-03-9,mg{NH4}/L,2009,0.066785247,FRHR229,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-03-3,mg{N}/L,2009,0.484815,FRHR229,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2009,3.48125,FRHR184E,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2009,714.083,FRHR184E,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-03-7,mg{O2}/L,2009,20,FRHR179,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-03-7,mg{O2}/L,2009,20,FRHR180,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2009,524.25,FRHR123,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-01-1,mg{N}/L,2009,0.5,FRHR123,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-05-5,mg{N}/L,2009,2.76899,FRHR123,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
